"","name","Nationality","treated","margin","pre_post"
"1","LENOVO (DEUTSCHLAND) GMBH","DE",1,0.511,0
"2","LENOVO (DEUTSCHLAND) GMBH","DE",1,0.919,1
"3","DREWAG - STADTWERKE DRESDEN GMBH","DE",1,9.377,0
"4","DREWAG - STADTWERKE DRESDEN GMBH","DE",1,5.836,1
"5","PREMIUM AEROTEC GMBH","DE",1,-0.455,0
"6","PREMIUM AEROTEC GMBH","DE",1,-8.548,1
"7","LUDWIG KROHNE GMBH & CO. KOMMANDITGESELLSCHAFT","DE",1,7.995,0
"8","LUDWIG KROHNE GMBH & CO. KOMMANDITGESELLSCHAFT","DE",1,6.266,1
"9","KROHNE MESSTECHNIK GMBH","DE",1,5.591,0
"10","KROHNE MESSTECHNIK GMBH","DE",1,5.707,1
"11","GKN DRIVELINE INTERNATIONAL GMBH","DE",1,79.02,0
"12","GKN DRIVELINE INTERNATIONAL GMBH","DE",1,50.78,1
"13","HYUNDAI MOTOR EUROPE TECHNICAL CENTER GMBH","DE",1,6.14,0
"14","HYUNDAI MOTOR EUROPE TECHNICAL CENTER GMBH","DE",1,6.987,1
"15","MAXON MOTOR GMBH","DE",1,15.801,0
"16","MAXON MOTOR GMBH","DE",1,13.535,1
"17","FLIEGL AGRARTECHNIK GMBH","DE",1,3.954,0
"18","FLIEGL AGRARTECHNIK GMBH","DE",1,7.509,1
"19","DELTA ENERGY SYSTEMS (GERMANY) GMBH","DE",1,5.054,0
"20","DELTA ENERGY SYSTEMS (GERMANY) GMBH","DE",1,4.947,1
"21","AMETEK GMBH","DE",1,NA,0
"22","AMETEK GMBH","DE",1,1.024,1
"23","BAUMANN GMBH","DE",1,NA,0
"24","BAUMANN GMBH","DE",1,-4.347,1
"25","AGAPLESION EVANGELISCHES KRANKENHAUS HOLZMINDEN GEMEINNUETZIGE GMBH","DE",1,1.329,0
"26","AGAPLESION EVANGELISCHES KRANKENHAUS HOLZMINDEN GEMEINNUETZIGE GMBH","DE",1,5.043,1
"27","IMGRUND SILOGISTIC GMBH","DE",1,4.99,0
"28","IMGRUND SILOGISTIC GMBH","DE",1,6.699,1
"29","RATH GMBH","DE",1,-4.052,0
"30","RATH GMBH","DE",1,-52.081,1
"31","RAMBOLL MANAGEMENT CONSULTING GMBH","DE",1,NA,0
"32","RAMBOLL MANAGEMENT CONSULTING GMBH","DE",1,NA,1
"33","ACEA SPA","IT",1,9.682,0
"34","ACEA SPA","IT",1,13.646,1
"35","AGRIMESSINA S.R.L.","IT",1,0.702,0
"36","AGRIMESSINA S.R.L.","IT",1,0.566,1
"37","ARS AMBIENTE S.R.L.","IT",1,9.273,0
"38","ARS AMBIENTE S.R.L.","IT",1,7.659,1
"39","BIOKOMP SRL","IT",1,2.436,0
"40","BIOKOMP SRL","IT",1,10.152,1
"41","CENTRO SA.NA. SERVIZI SANITARI PRIVATI S.R.L.","IT",1,8.389,0
"42","CENTRO SA.NA. SERVIZI SANITARI PRIVATI S.R.L.","IT",1,3.344,1
"43","EL.EN. S.P.A.","IT",1,10.506,0
"44","EL.EN. S.P.A.","IT",1,6.748,1
"45","ELICA SPA","IT",1,3.109,0
"46","ELICA SPA","IT",1,1.466,1
"47","FERROVIE DELLO STATO ITALIANE S.P.A.","IT",1,5.8,0
"48","FERROVIE DELLO STATO ITALIANE S.P.A.","IT",1,4.609,1
"49","FINCANTIERI S.P.A","IT",1,-7.755,0
"50","FINCANTIERI S.P.A","IT",1,-4.315,1
"51","GSK VACCINES INSTITUTE FOR GLOBAL HEALTH S.R.L.","IT",1,9.416,0
"52","GSK VACCINES INSTITUTE FOR GLOBAL HEALTH S.R.L.","IT",1,8.214,1
"53","GUALINI LAMIERE INTERNATIONAL S.P.A. E PER BREVITA' GUALINI LAMIERE INT. S.P.A.","IT",1,7.528,0
"54","GUALINI LAMIERE INTERNATIONAL S.P.A. E PER BREVITA' GUALINI LAMIERE INT. S.P.A.","IT",1,-9.345,1
"55","GV FILTRI INDUSTRIALI S.R.L.","IT",1,3.462,0
"56","GV FILTRI INDUSTRIALI S.R.L.","IT",1,9.637,1
"57","HERA SPA","IT",1,6.393,0
"58","HERA SPA","IT",1,5.759,1
"59","INFRASTRUTTURE WIRELESS ITALIANE S.P.A.","IT",1,38.778,0
"60","INFRASTRUTTURE WIRELESS ITALIANE S.P.A.","IT",1,33.304,1
"61","ITALSCANIA S.P.A.","IT",1,8.687,0
"62","ITALSCANIA S.P.A.","IT",1,10.13,1
"63","LUCCA CREA SRL","IT",1,8.692,0
"64","LUCCA CREA SRL","IT",1,5.937,1
"65","MANNI GROUP S.P.A.","IT",1,24.252,0
